,service_uid,company_name,origin_crs,origin_stn_name,origin_run_time,origin_run_date,planned_final_destination,planned_final_crs,destination_reached_crs,destination_reached_name,scheduled_arrival_time,scheduled_arrival_date,arrival_lateness,cancellation_station_crs,cancellation_station_name,cancel_code,scheduled_arrival_datetime,origin_run_datetime
0,G66026,Transport for Wales,MNC,Manchester Piccadilly,1900-01-01 07:18:00,2023-09-03,Chester,CTR,CHS,Chester,1900-01-01 09:28:00,2023-09-03,0,,,,2023-09-03 09:28:00,2023-09-03 07:18:00
1,S87239,Northern,MNC,Manchester Piccadilly,1900-01-01 07:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 08:40:00,2023-09-03,0,,,,2023-09-03 08:40:00,2023-09-03 07:30:00
2,J67000,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 07:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 07:55:00,2023-09-03,0,,,,2023-09-03 07:55:00,2023-09-03 07:30:00
3,P60529,Northern,MNC,Manchester Piccadilly,1900-01-01 07:43:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 09:04:00,2023-09-03,5,,,,2023-09-03 09:04:00,2023-09-03 07:43:00
4,J67001,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 08:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 08:25:00,2023-09-03,0,,,,2023-09-03 08:25:00,2023-09-03 08:00:00
5,N80624,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 08:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 09:00:00,2023-09-03,0,,,,2023-09-03 09:00:00,2023-09-03 08:00:00
6,L33286,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 08:06:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 11:00:00,2023-09-03,-13,,,,2023-09-03 11:00:00,2023-09-03 08:06:00
7,P44498,Northern,MNC,Manchester Piccadilly,1900-01-01 08:09:00,2023-09-03,Crewe,CRE,ALD,Alderley Edge,1900-01-01 08:35:00,2023-09-03,42,SDB,Sandbach,ZX,2023-09-03 08:35:00,2023-09-03 08:09:00
8,G67952,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 08:12:00,2023-09-03,Cleethorpes,CLE,GRM,Grimsby Town,1900-01-01 10:41:30,2023-09-03,19,CLE,Cleethorpes,I5,2023-09-03 10:41:30,2023-09-03 08:12:00
9,L33292,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 08:20:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 11:10:00,2023-09-03,21,,,,2023-09-03 11:10:00,2023-09-03 08:20:00
10,G59358,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 08:27:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 13:26:00,2023-09-03,0,,,,2023-09-03 13:26:00,2023-09-03 08:27:00
11,P45161,Northern,MNC,Manchester Piccadilly,1900-01-01 08:29:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 09:47:30,2023-09-03,5,,,,2023-09-03 09:47:30,2023-09-03 08:29:00
12,N80625,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 08:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 09:30:00,2023-09-03,0,,,,2023-09-03 09:30:00,2023-09-03 08:30:00
13,J67002,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 08:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 08:55:00,2023-09-03,0,,,,2023-09-03 08:55:00,2023-09-03 08:30:00
14,S87260,Northern,MNC,Manchester Piccadilly,1900-01-01 08:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 09:40:00,2023-09-03,0,,,,2023-09-03 09:40:00,2023-09-03 08:30:00
15,P43989,Northern,MNC,Manchester Piccadilly,1900-01-01 08:50:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 09:53:00,2023-09-03,16,,,,2023-09-03 09:53:00,2023-09-03 08:50:00
16,J67003,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 09:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 09:25:00,2023-09-03,0,,,,2023-09-03 09:25:00,2023-09-03 09:00:00
17,N80626,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 09:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 10:00:00,2023-09-03,0,,,,2023-09-03 10:00:00,2023-09-03 09:00:00
18,P44500,Northern,MNC,Manchester Piccadilly,1900-01-01 09:00:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 09:48:00,2023-09-03,10,,,,2023-09-03 09:48:00,2023-09-03 09:00:00
19,P44205,Northern,MNC,Manchester Piccadilly,1900-01-01 09:06:00,2023-09-03,Chester,CTR,CHS,Chester,1900-01-01 10:37:00,2023-09-03,14,,,,2023-09-03 10:37:00,2023-09-03 09:06:00
20,G59362,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 09:27:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 14:27:00,2023-09-03,3,,,,2023-09-03 14:27:00,2023-09-03 09:27:00
21,P60075,Northern,MNC,Manchester Piccadilly,1900-01-01 09:29:00,2023-09-03,Manchester Piccadilly,MAN,MNC,Manchester Piccadilly,1900-01-01 10:50:00,2023-09-03,0,,,,2023-09-03 10:50:00,2023-09-03 09:29:00
22,J67004,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 09:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 09:55:00,2023-09-03,0,,,,2023-09-03 09:55:00,2023-09-03 09:30:00
23,N80627,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 09:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 10:30:00,2023-09-03,0,,,,2023-09-03 10:30:00,2023-09-03 09:30:00
24,L98384,Transport for Wales,MNC,Manchester Piccadilly,1900-01-01 09:30:00,2023-09-03,Swansea,SWA,SWA,Swansea,1900-01-01 14:18:00,2023-09-03,-3,,,,2023-09-03 14:18:00,2023-09-03 09:30:00
25,S87261,Northern,MNC,Manchester Piccadilly,1900-01-01 09:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 10:40:00,2023-09-03,0,,,,2023-09-03 10:40:00,2023-09-03 09:30:00
26,P60537,Northern,MNC,Manchester Piccadilly,1900-01-01 09:31:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 10:51:00,2023-09-03,8,,,,2023-09-03 10:51:00,2023-09-03 09:31:00
27,P43996,Northern,MNC,Manchester Piccadilly,1900-01-01 09:47:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 10:45:00,2023-09-03,-5,,,,2023-09-03 10:45:00,2023-09-03 09:47:00
28,N80651,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 09:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 11:27:00,2023-09-03,0,,,,2023-09-03 11:27:00,2023-09-03 09:52:00
29,P44505,Northern,MNC,Manchester Piccadilly,1900-01-01 09:57:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 10:46:00,2023-09-03,12,,,,2023-09-03 10:46:00,2023-09-03 09:57:00
30,N80628,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 11:00:00,2023-09-03,0,,,,2023-09-03 11:00:00,2023-09-03 10:00:00
31,J67005,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 10:25:00,2023-09-03,0,,,,2023-09-03 10:25:00,2023-09-03 10:00:00
32,P44230,Northern,MNC,Manchester Piccadilly,1900-01-01 10:03:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 10:42:00,2023-09-03,1,,,,2023-09-03 10:42:00,2023-09-03 10:03:00
33,G67956,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:14:00,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,1900-01-01 12:52:30,2023-09-03,2,,,,2023-09-03 12:52:30,2023-09-03 10:14:00
34,L33311,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 10:21:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 12:54:00,2023-09-03,-5,,,,2023-09-03 12:54:00,2023-09-03 10:21:00
35,G59368,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 10:27:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 15:25:00,2023-09-03,0,,,,2023-09-03 15:25:00,2023-09-03 10:27:00
36,L98372,Transport for Wales,MNC,Manchester Piccadilly,1900-01-01 10:30:00,2023-09-03,Carmarthen,CMN,CMT,Carmarthen,1900-01-01 16:10:00,2023-09-03,0,,,,2023-09-03 16:10:00,2023-09-03 10:30:00
37,S87262,Northern,MNC,Manchester Piccadilly,1900-01-01 10:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 11:40:00,2023-09-03,0,,,,2023-09-03 11:40:00,2023-09-03 10:30:00
38,J67006,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 10:55:00,2023-09-03,0,,,,2023-09-03 10:55:00,2023-09-03 10:30:00
39,N80629,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 11:30:00,2023-09-03,0,,,,2023-09-03 11:30:00,2023-09-03 10:30:00
40,P60031,Northern,MNC,Manchester Piccadilly,1900-01-01 10:33:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 11:12:00,2023-09-03,0,,,,2023-09-03 11:12:00,2023-09-03 10:33:00
41,P60542,Northern,MNC,Manchester Piccadilly,1900-01-01 10:45:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 12:05:00,2023-09-03,13,,,,2023-09-03 12:05:00,2023-09-03 10:45:00
42,P44005,Northern,MNC,Manchester Piccadilly,1900-01-01 10:47:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 11:47:00,2023-09-03,-2,,,,2023-09-03 11:47:00,2023-09-03 10:47:00
43,N80652,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 12:27:00,2023-09-03,0,,,,2023-09-03 12:27:00,2023-09-03 10:52:00
44,N80630,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 12:00:00,2023-09-03,0,,,,2023-09-03 12:00:00,2023-09-03 11:00:00
45,J67007,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 11:25:00,2023-09-03,0,,,,2023-09-03 11:25:00,2023-09-03 11:00:00
46,P60032,Northern,MNC,Manchester Piccadilly,1900-01-01 11:03:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 11:42:00,2023-09-03,0,,,,2023-09-03 11:42:00,2023-09-03 11:03:00
47,P44207,Northern,MNC,Manchester Piccadilly,1900-01-01 11:03:00,2023-09-03,Chester,CTR,CHS,Chester,1900-01-01 12:30:00,2023-09-03,20,,,,2023-09-03 12:30:00,2023-09-03 11:03:00
48,P44509,Northern,MNC,Manchester Piccadilly,1900-01-01 11:07:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 11:54:00,2023-09-03,-1,,,,2023-09-03 11:54:00,2023-09-03 11:07:00
49,L33321,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 11:14:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 13:35:00,2023-09-03,2,,,,2023-09-03 13:35:00,2023-09-03 11:14:00
50,G59372,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 11:25:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 16:25:00,2023-09-03,6,,,,2023-09-03 16:25:00,2023-09-03 11:25:00
51,L98386,Transport for Wales,SHR,Shrewsbury,1900-01-01 12:44:00,2023-09-03,Swansea,SWA,SWA,Swansea,1900-01-01 15:47:00,2023-09-03,3,MAN,Manchester Piccadilly,TG,2023-09-03 15:47:00,2023-09-03 12:44:00
52,J67008,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 11:55:00,2023-09-03,0,,,,2023-09-03 11:55:00,2023-09-03 11:30:00
53,N80631,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 12:30:00,2023-09-03,0,,,,2023-09-03 12:30:00,2023-09-03 11:30:00
54,S87238,Northern,MNC,Manchester Piccadilly,1900-01-01 11:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 12:40:00,2023-09-03,0,,,,2023-09-03 12:40:00,2023-09-03 11:30:00
55,P60033,Northern,MNC,Manchester Piccadilly,1900-01-01 11:33:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 12:12:00,2023-09-03,0,,,,2023-09-03 12:12:00,2023-09-03 11:33:00
56,P60547,Northern,MNC,Manchester Piccadilly,1900-01-01 11:45:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 13:05:00,2023-09-03,1,,,,2023-09-03 13:05:00,2023-09-03 11:45:00
57,P44013,Northern,MNC,Manchester Piccadilly,1900-01-01 11:49:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 12:50:00,2023-09-03,-2,,,,2023-09-03 12:50:00,2023-09-03 11:49:00
58,N80653,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 13:27:00,2023-09-03,0,,,,2023-09-03 13:27:00,2023-09-03 11:52:00
59,L33333,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 11:56:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 14:10:00,2023-09-03,-2,,,,2023-09-03 14:10:00,2023-09-03 11:56:00
60,N80632,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 13:00:00,2023-09-03,0,,,,2023-09-03 13:00:00,2023-09-03 12:00:00
61,J67009,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 12:25:00,2023-09-03,0,,,,2023-09-03 12:25:00,2023-09-03 12:00:00
62,P60228,Northern,MNC,Manchester Piccadilly,1900-01-01 12:01:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 12:49:00,2023-09-03,0,,,,2023-09-03 12:49:00,2023-09-03 12:01:00
63,P60034,Northern,MNC,Manchester Piccadilly,1900-01-01 12:03:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 12:42:00,2023-09-03,0,,,,2023-09-03 12:42:00,2023-09-03 12:03:00
64,L33335,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 12:15:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 14:38:00,2023-09-03,0,,,,2023-09-03 14:38:00,2023-09-03 12:15:00
65,G67960,Transpennine Express,SHE,Sheffield,1900-01-01 13:10:00,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,1900-01-01 14:49:30,2023-09-03,11,MAN,Manchester Piccadilly,I5,2023-09-03 14:49:30,2023-09-03 13:10:00
66,G59376,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 12:25:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 17:25:00,2023-09-03,4,,,,2023-09-03 17:25:00,2023-09-03 12:25:00
67,J67010,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 12:55:00,2023-09-03,0,,,,2023-09-03 12:55:00,2023-09-03 12:30:00
68,N80633,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 13:30:00,2023-09-03,0,,,,2023-09-03 13:30:00,2023-09-03 12:30:00
69,S87263,Northern,MNC,Manchester Piccadilly,1900-01-01 12:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 13:40:00,2023-09-03,0,,,,2023-09-03 13:40:00,2023-09-03 12:30:00
70,L98394,Transport for Wales,MNC,Manchester Piccadilly,1900-01-01 12:31:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 13:07:00,2023-09-03,0,,,,2023-09-03 13:07:00,2023-09-03 12:31:00
71,P60035,Northern,MNC,Manchester Piccadilly,1900-01-01 12:33:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 13:12:00,2023-09-03,0,,,,2023-09-03 13:12:00,2023-09-03 12:33:00
72,G70124,East Midlands Railway,MNC,Manchester Piccadilly,1900-01-01 12:44:00,2023-09-03,Norwich,NRW,NRC,Norwich,1900-01-01 17:25:00,2023-09-03,4,,,,2023-09-03 17:25:00,2023-09-03 12:44:00
73,P59715,Northern,MNC,Manchester Piccadilly,1900-01-01 12:50:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 13:50:00,2023-09-03,0,,,,2023-09-03 13:50:00,2023-09-03 12:50:00
74,N80654,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 14:27:00,2023-09-03,0,,,,2023-09-03 14:27:00,2023-09-03 12:52:00
75,P60552,Northern,MNC,Manchester Piccadilly,1900-01-01 12:52:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 14:05:00,2023-09-03,0,,,,2023-09-03 14:05:00,2023-09-03 12:52:00
76,J67011,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 13:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 13:25:00,2023-09-03,0,,,,2023-09-03 13:25:00,2023-09-03 13:00:00
